timestamp_utc,number,name,latitude,longitude,status,bikes,electrical,mechanical,stands,capacity,last_update
2026-07-13T08:22:37Z,7015,7015 - TECHSUD,45.7228,4.842706,OPEN,11,5,6,1,12,2026-07-13T08:21:17Z
2026-07-13T08:22:37Z,8024,8024 - MERMOZ / MICHELET,45.733317,4.878607,OPEN,9,5,4,3,12,2026-07-13T08:19:10Z
2026-07-13T08:22:37Z,7026,7026 - BALDASSINI / GERLAND,45.727691,4.837392,OPEN,15,5,10,5,20,2026-07-13T08:16:45Z
2026-07-13T08:22:37Z,24001,24001 - ECULLY - MAIRIE,45.775112,4.778531,OPEN,6,6,0,6,12,2026-07-13T08:18:05Z
2026-07-13T08:22:37Z,7007,7007 - FARGE / AYASSE,45.735741,4.827725,OPEN,9,0,9,8,20,2026-07-13T08:19:27Z
2026-07-13T08:22:37Z,8038,8038 - ALBERT THOMAS / VILLON,45.746691,4.867501,OPEN,16,0,16,3,20,2026-07-13T08:20:48Z
2026-07-13T08:22:37Z,10072,10072 - JACQUES BREL,45.774228,4.864269,OPEN,7,1,6,15,23,2026-07-13T08:19:54Z
2026-07-13T08:22:37Z,18001,18001 - PIERRE BÉNITE - EUROPE,45.703245,4.821204,OPEN,13,5,8,2,15,2026-07-13T08:18:29Z
2026-07-13T08:22:37Z,6020,6020 - MUSÉE GUIMET,45.774526,4.848443,OPEN,4,4,0,11,15,2026-07-13T08:21:07Z
2026-07-13T08:22:37Z,12001,12001 - VAULX - LA SOIE,45.760908,4.920569,OPEN,6,6,0,2,17,2026-07-13T08:19:44Z
2026-07-13T08:22:37Z,10055,10055 - CONDORCET / GALLINE,45.776428,4.866976,OPEN,3,0,3,12,15,2026-07-13T08:18:58Z
